command,description,file_path,option
grep -A 2 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the two lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 3 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the three lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 4 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the four lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 5 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'AAAAB3NzaC1yc2EAAAABIwAAAQEAzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the five lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 1 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the line after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 2 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the two lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 3 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the three lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 4 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the four lines after it.,/home/user/.ssh/id_rs?.pub,-A
grep -A 5 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' /home/user/.ssh/id_rs?.pub,Print the line containing 'kEzZfLk+L5M7VU2I4b9zQm1FL4I0Q0B5GnSD' and the five lines after it.,/home/user/.ssh/id_rs?.pub,-A
"grep -A 1 'print(""Hello world!"")' /home/user/projects/myapp/main.p?","Show the line containing 'print(""Hello world!"")' and the line after it.",/home/user/projects/myapp/main.p?,-A
"grep -A 2 'if __name__ == ""__main__"":' /home/user/projects/myapp/main.p?","Show the line containing 'if __name__ == ""__main__"":' and the two lines after it.",/home/user/projects/myapp/main.p?,-A
grep -A 3 'import sys' /home/user/projects/myapp/main.p?,Show the line containing 'import sys' and the three lines after it.,/home/user/projects/myapp/main.p?,-A
grep -A 4 'def main():' /home/user/projects/myapp/main.p?,Show the line containing 'def main():' and the four lines after it.,/home/user/projects/myapp/main.p?,-A
grep -A 5 '#!/usr/bin/env python' /home/user/projects/myapp/main.p?,Show the line containing '#!/usr/bin/env python' and the five lines after it.,/home/user/projects/myapp/main.p?,-A
grep -A 1 'import os' /home/user/projects/myapp/main.p?,Show the line containing 'import os' and the line after it.,/home/user/projects/myapp/main.p?,-A
grep -A 2 'main()' /home/user/projects/myapp/main.p?,Show the line containing 'main()' and the two lines after it.,/home/user/projects/myapp/main.p?,-A
grep -A 3 'sys' /home/user/projects/myapp/main.p?,Show the lines containing 'sys' and the three lines after each match.,/home/user/projects/myapp/main.p?,-A
grep -A 4 'os' /home/user/projects/myapp/main.p?,Show the lines containing 'os' and the four lines after each match.,/home/user/projects/myapp/main.p?,-A
grep -A 5 'print' /home/user/projects/myapp/main.p?,Show the lines containing 'print' and the five lines after each match.,/home/user/projects/myapp/main.p?,-A
grep -A 1 Flask /home/user/projects/myapp/requirements.txt,Show the line containing 'Flask' and the line after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 2 Click /home/user/projects/myapp/requirements.txt,Show the line containing 'Click' and the two lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 3 Werkzeug /home/user/projects/myapp/requirements.txt,Show the line containing 'Werkzeug' and the three lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 4 Jinja2 /home/user/projects/myapp/requirements.txt,Show the line containing 'Jinja2' and the four lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 5 itsdangerous /home/user/projects/myapp/requirements.txt,Show the line containing 'itsdangerous' and the five lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 1 '==1.1' /home/user/projects/myapp/requirements.txt,Show all lines containing '==1.1' and the line after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 2 '==2.11' /home/user/projects/myapp/requirements.txt,Show all lines containing '==2.11' and the two lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 3 '==1.0' /home/user/projects/myapp/requirements.txt,Show all lines containing '==1.0' and the three lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 4 '==7.0' /home/user/projects/myapp/requirements.txt,Show all lines containing '==7.0' and the four lines after it.,/home/user/projects/myapp/requirements.txt,-A
grep -A 5 '==0.1' /home/user/projects/myapp/requirements.txt,Show all lines containing '==0.1' and the five lines after it.,/home/user/projects/myapp/requirements.txt,-A
"grep -A 1 ""[INFO]"" /home/user/projects/myapp/app.log","Print the line containing ""[INFO]"" and the line following it.",/home/user/projects/myapp/app.log,-A
"grep -A 2 ""[ERROR]"" /home/user/projects/myapp/app.log","Print the line containing ""[ERROR]"" and the two lines following it.",/home/user/projects/myapp/app.log,-A
"grep -A 3 ""[WARNING]"" /home/user/projects/myapp/app.log","Print the line containing ""[WARNING]"" and the three lines following it.",/home/user/projects/myapp/app.log,-A
"grep -A 1 ""Starting application"" /home/user/projects/myapp/app.log","Print the line containing ""Starting application"" and the line following it.",/home/user/projects/myapp/app.log,-A
"grep -A 2 ""Failed to connect"" /home/user/projects/myapp/app.log","Print the line containing ""Failed to connect"" and the two lines following it.",/home/user/projects/myapp/app.log,-A
"grep -A 1 ""Shutting down application"" /home/user/projects/myapp/app.log","Print the line containing ""Shutting down application"" and the line following it.",/home/user/projects/myapp/app.log,-A
"grep -A 1 ""Loading configuration"" /home/user/projects/myapp/app.log","Print the line containing ""Loading configuration"" and the line following it.",/home/user/projects/myapp/app.log,-A
"grep -A 2 ""Invalid input detected"" /home/user/projects/myapp/app.log","Print the line containing ""Invalid input detected"" and the two lines following it.",/home/user/projects/myapp/app.log,-A
"grep -A 3 ""database"" /home/user/projects/myapp/app.log","Print the line containing ""database"" and the three lines following it.",/home/user/projects/myapp/app.log,-A
"grep -A 1 ""2021-08-01"" /home/user/projects/myapp/app.log","Print the line containing ""2021-08-01"" and the line following it.",/home/user/projects/myapp/app.log,-A
grep -A 10 'Port 22' /etc/ssh/sshd_config,Show the line containing 'Port 22' and the 10 lines following it.,/etc/ssh/sshd_config,-A
grep -A 5 'AddressFamily' /etc/ssh/sshd_config,Show the line containing 'AddressFamily' and the 5 lines following it.,/etc/ssh/sshd_config,-A
grep -A 2 'ListenAddress' /etc/ssh/sshd_config,Show the line containing 'ListenAddress' and the 2 lines following it.,/etc/ssh/sshd_config,-A
grep -A 3 'PasswordAuthentication' /etc/ssh/sshd_config,Show the line containing 'PasswordAuthentication' and the 3 lines following it.,/etc/ssh/sshd_config,-A
grep -A 1 'PermitRootLogin' /etc/ssh/sshd_config,Show the line containing 'PermitRootLogin' and the line following it.,/etc/ssh/sshd_config,-A
grep -A 5 'AllowUsers' /etc/ssh/sshd_config,Show the line containing 'AllowUsers' and the 5 lines following it.,/etc/ssh/sshd_config,-A
grep -A 2 'DenyUsers' /etc/ssh/sshd_config,Show the line containing 'DenyUsers' and the 2 lines following it.,/etc/ssh/sshd_config,-A
grep -A 3 'AllowGroups' /etc/ssh/sshd_config,Show the line containing 'AllowGroups' and the 3 lines following it.,/etc/ssh/sshd_config,-A
grep -A 1 'DenyGroups' /etc/ssh/sshd_config,Show the line containing 'DenyGroups' and the line following it.,/etc/ssh/sshd_config,-A
grep -A 5 'X11Forwarding' /etc/ssh/sshd_config,Show the line containing 'X11Forwarding' and the 5 lines following it.,/etc/ssh/sshd_config,-A
grep -A 1 '/dev/sda1',Show the line containing '/dev/sda1' and the line after it.,/etc/fstab,-A
grep -A 2 'swap',Show all lines containing 'swap' and the two lines after each match.,/etc/fstab,-A
grep -A 3 'ext4',Show all lines containing 'ext4' and the three lines after each match.,/etc/fstab,-A
grep -A 4 'defaults',Show all lines containing 'defaults' and the four lines after each match.,/etc/fstab,-A
grep -A 5 'noauto',Show all lines containing 'noauto' and the five lines after each match.,/etc/fstab,-A
grep -A 1 '0 0',Show all lines containing '0 0' and the line after each match.,/etc/fstab,-A
grep -A 1 '0 1',Show all lines containing '0 1' and the line after each match.,/etc/fstab,-A
grep -A 1 '0 2',Show all lines containing '0 2' and the line after each match.,/etc/fstab,-A
grep -A 1 '0 3',Show all lines containing '0 3' and the line after each match.,/etc/fstab,-A
grep -A 1 'auto',Show all lines containing 'auto' and the line after each match.,/etc/fstab,-A
grep -A 1 'root' /etc/passwd,Print the line containing 'root' and the line following it.,/etc/passwd,-A
grep -A 2 'bin' /etc/passwd,Print the line containing 'bin' and the two lines following it.,/etc/passwd,-A
grep -A 3 'daemon' /etc/passwd,Print the line containing 'daemon' and the three lines following it.,/etc/passwd,-A
grep -A 1 'bash' /etc/passwd,Print the line containing 'bash' and the line following it.,/etc/passwd,-A
grep -A 1 'nologin' /etc/passwd,Print the line containing 'nologin' and the line following it.,/etc/passwd,-A
grep -A 1 'x' /etc/passwd,Print the line containing 'x' and the line following it.,/etc/passwd,-A
grep -A 1 ':' /etc/passwd,Print the line containing ':' and the line following it.,/etc/passwd,-A
grep -A 1 '/' /etc/passwd,Print the line containing '/' and the line following it.,/etc/passwd,-A
grep -A 1 ' ' /etc/passwd,Print the line containing ' ' and the line following it.,/etc/passwd,-A
grep -A 1 '	' /etc/passwd,Print the line containing a tab character and the line following it.,/etc/passwd,-A
grep -A 1 'root' /etc/group,Show the line containing 'root' and the line after it.,/etc/group,-A
grep -A 2 'daemon' /etc/group,Show the line containing 'daemon' and the two lines after it.,/etc/group,-A
grep -A 3 'bin' /etc/group,Show the line containing 'bin' and the three lines after it.,/etc/group,-A
grep -A 4 'sys' /etc/group,Show the line containing 'sys' and the four lines after it.,/etc/group,-A
grep -A 5 'adm' /etc/group,Show the line containing 'adm' and the five lines after it.,/etc/group,-A
grep -A 10 'root' /etc/group,Show the line containing 'root' and the ten lines after it.,/etc/group,-A
grep -A 20 'daemon' /etc/group,Show the line containing 'daemon' and the twenty lines after it.,/etc/group,-A
grep -A 50 'bin' /etc/group,Show the line containing 'bin' and the fifty lines after it.,/etc/group,-A
grep -A 100 'sys' /etc/group,Show the line containing 'sys' and the one hundred lines after it.,/etc/group,-A
grep -A 200 'adm' /etc/group,Show the line containing 'adm' and the two hundred lines after it.,/etc/group,-A
grep -A 1 'set tabstop' /home/user/.vimrc,Show the line setting tabstop and the line after it.,/home/user/.vimrc,-A
grep -A 2 'set shiftwidth' /home/user/.vimrc,Show the line setting shiftwidth and the two lines after it.,/home/user/.vimrc,-A
grep -A 3 'set number' /home/user/.vimrc,Show the line setting number and the three lines after it.,/home/user/.vimrc,-A
grep -A 4 'set backspace' /home/user/.vimrc,Show the line setting backspace and the four lines after it.,/home/user/.vimrc,-A
grep -A 5 'set nocompatible' /home/user/.vimrc,Show the line setting nocompatible and the five lines after it.,/home/user/.vimrc,-A
grep -A 10 'set tabstop' /home/user/.vimrc,Show the line setting tabstop and the ten lines after it.,/home/user/.vimrc,-A
grep -A 20 'set shiftwidth' /home/user/.vimrc,Show the line setting shiftwidth and the twenty lines after it.,/home/user/.vimrc,-A
grep -A 50 'set number' /home/user/.vimrc,Show the line setting number and the fifty lines after it.,/home/user/.vimrc,-A
grep -A 100 'set backspace' /home/user/.vimrc,Show the line setting backspace and the one hundred lines after it.,/home/user/.vimrc,-A
grep -A 1000 'set nocompatible' /home/user/.vimrc,Show the line setting nocompatible and the one thousand lines after it.,/home/user/.vimrc,-A
grep -A 1 'name = John Doe' /home/user/.gitconfig,Print the line containing 'name = John Doe' and the line following it.,/home/user/.gitconfig,-A
grep -A 2 'email = johndoe@example.com' /home/user/.gitconfig,Print the line containing 'email = johndoe@example.com' and the two lines following it.,/home/user/.gitconfig,-A
grep -A 3 'name = John Doe' /home/user/.gitconfig,Print the line containing 'name = John Doe' and the three lines following it.,/home/user/.gitconfig,-A
grep -A 4 'email = johndoe@example.com' /home/user/.gitconfig,Print the line containing 'email = johndoe@example.com' and the four lines following it.,/home/user/.gitconfig,-A
grep -A 5 'name = John Doe' /home/user/.gitconfig,Print the line containing 'name = John Doe' and the five lines following it.,/home/user/.gitconfig,-A
grep -A 10 'email = johndoe@example.com' /home/user/.gitconfig,Print the line containing 'email = johndoe@example.com' and the ten lines following it.,/home/user/.gitconfig,-A
grep -A 20 'name = John Doe' /home/user/.gitconfig,Print the line containing 'name = John Doe' and the twenty lines following it.,/home/user/.gitconfig,-A
grep -A 50 'email = johndoe@example.com' /home/user/.gitconfig,Print the line containing 'email = johndoe@example.com' and the fifty lines following it.,/home/user/.gitconfig,-A
grep -A 100 'name = John Doe' /home/user/.gitconfig,Print the line containing 'name = John Doe' and the one hundred lines following it.,/home/user/.gitconfig,-A
grep -A 1000 'email = johndoe@example.com' /home/user/.gitconfig,Print the line containing 'email = johndoe@example.com' and the one thousand lines following it.,/home/user/.gitconfig,-A
grep -A 1 '# Ignore .env file' /home/user/projects/myapp/.gitignore,Show the line '# Ignore .env file' and the line after it,/home/user/projects/myapp/.gitignore,-A
grep -A 2 '# Ignore log files' /home/user/projects/myapp/.gitignore,Show the line '# Ignore log files' and the two lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 3 '# Ignore temporary files' /home/user/projects/myapp/.gitignore,Show the line '# Ignore temporary files' and the three lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 4 '# Ignore compiled code' /home/user/projects/myapp/.gitignore,Show the line '# Ignore compiled code' and the four lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 5 '# Ignore build artifacts' /home/user/projects/myapp/.gitignore,Show the line '# Ignore build artifacts' and the five lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 1 '*.class' /home/user/projects/myapp/.gitignore,Show the line '*.class' and the line after it,/home/user/projects/myapp/.gitignore,-A
grep -A 2 'build/' /home/user/projects/myapp/.gitignore,Show the line 'build/' and the two lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 3 'logs/' /home/user/projects/myapp/.gitignore,Show the line 'logs/' and the three lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 4 'tmp/' /home/user/projects/myapp/.gitignore,Show the line 'tmp/' and the four lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 5 '.env' /home/user/projects/myapp/.gitignore,Show the line '.env' and the five lines after it,/home/user/projects/myapp/.gitignore,-A
grep -A 1 'Starting backup' /home/user/scripts/backup.sh,Show the line containing 'Starting backup' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 2 'rsync' /home/user/scripts/backup.sh,Show the line containing 'rsync' and the two lines after it.,/home/user/scripts/backup.sh,-A
grep -A 3 'Backup completed' /home/user/scripts/backup.sh,Show the line containing 'Backup completed' and the three lines after it.,/home/user/scripts/backup.sh,-A
grep -A 1 'echo' /home/user/scripts/backup.sh,Show each line containing 'echo' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 2 'data' /home/user/scripts/backup.sh,Show each line containing 'data' and the two lines after it.,/home/user/scripts/backup.sh,-A
grep -A 1 'backup' /home/user/scripts/backup.sh,Show each line containing 'backup' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 1 'home/user' /home/user/scripts/backup.sh,Show each line containing 'home/user' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 1 'rsync -avz' /home/user/scripts/backup.sh,Show the line containing 'rsync -avz' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 1 '#!/bin/bash' /home/user/scripts/backup.sh,Show the line containing '#!/bin/bash' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 1 '# Backup script' /home/user/scripts/backup.sh,Show the line containing '# Backup script' and the line after it.,/home/user/scripts/backup.sh,-A
grep -A 1 'GET /home HTTP/1.1' /var/log/nginx/access.log,Show the line containing 'GET /home HTTP/1.1' and the line after it.,/var/log/nginx/access.log,-A
grep -A 2 'POST /signup HTTP/1.1' /var/log/nginx/access.log,Show the line containing 'POST /signup HTTP/1.1' and the two lines after it.,/var/log/nginx/access.log,-A
grep -A 3 'Mozilla/5.0' /var/log/nginx/access.log,Show the line containing 'Mozilla/5.0' and the three lines after it.,/var/log/nginx/access.log,-A
grep -A 5 '200' /var/log/nginx/access.log,Show the line containing '200' and the five lines after it.,/var/log/nginx/access.log,-A
grep -A 10 '192.168.0.1' /var/log/nginx/access.log,Show the line containing '192.168.0.1' and the ten lines after it.,/var/log/nginx/access.log,-A
grep -A 2 'HTTP/1.1' /var/log/nginx/access.log,Show the line containing 'HTTP/1.1' and the two lines after it.,/var/log/nginx/access.log,-A
grep -A 1 '404' /var/log/nginx/access.log,Show the line containing '404' and the line after it.,/var/log/nginx/access.log,-A
grep -A 3 '302' /var/log/nginx/access.log,Show the line containing '302' and the three lines after it.,/var/log/nginx/access.log,-A
grep -A 5 'GET /' /var/log/nginx/access.log,Show the line containing 'GET /' and the five lines after it.,/var/log/nginx/access.log,-A
grep -A 10 'POST /' /var/log/nginx/access.log,Show the line containing 'POST /' and the ten lines after it.,/var/log/nginx/access.log,-A
"grep -A 1 'open() ""/var/www/html/index.html"" failed' /var/log/nginx/error.log",Show the line containing the error message and the line after it.,/var/log/nginx/error.log,-A
"grep -A 2 'open() ""/var/www/html/index.html"" failed' /var/log/nginx/error.log",Show the line containing the error message and the two lines after it.,/var/log/nginx/error.log,-A
"grep -A 3 'open() ""/var/www/html/index.html"" failed' /var/log/nginx/error.log",Show the line containing the error message and the three lines after it.,/var/log/nginx/error.log,-A
"grep -A 5 'open() ""/var/www/html/index.html"" failed' /var/log/nginx/error.log",Show the line containing the error message and the five lines after it.,/var/log/nginx/error.log,-A
"grep -A 10 'open() ""/var/www/html/index.html"" failed' /var/log/nginx/error.log",Show the line containing the error message and the ten lines after it.,/var/log/nginx/error.log,-A
grep -A 1 'client: 123.123.123.123' /var/log/nginx/error.log,Show the line containing the client IP address and the line after it.,/var/log/nginx/error.log,-A
grep -A 2 'client: 123.123.123.123' /var/log/nginx/error.log,Show the line containing the client IP address and the two lines after it.,/var/log/nginx/error.log,-A
grep -A 3 'client: 123.123.123.123' /var/log/nginx/error.log,Show the line containing the client IP address and the three lines after it.,/var/log/nginx/error.log,-A
grep -A 5 'client: 123.123.123.123' /var/log/nginx/error.log,Show the line containing the client IP address and the five lines after it.,/var/log/nginx/error.log,-A
grep -A 10 'client: 123.123.123.123' /var/log/nginx/error.log,Show the line containing the client IP address and the ten lines after it.,/var/log/nginx/error.log,-A
grep -A 1 'export PATH' /home/user/.profile,Show the line containing 'export PATH' and the line after it.,/home/user/.profile,-A
grep -A 2 'export MANPATH' /home/user/.profile,Show the line containing 'export MANPATH' and the two lines after it.,/home/user/.profile,-A
grep -A 3 'export PATH' /home/user/.profile,Show the line containing 'export PATH' and the three lines after it.,/home/user/.profile,-A
grep -A 4 'export MANPATH' /home/user/.profile,Show the line containing 'export MANPATH' and the four lines after it.,/home/user/.profile,-A
grep -A 5 'export PATH' /home/user/.profile,Show the line containing 'export PATH' and the five lines after it.,/home/user/.profile,-A
grep -A 10 'export MANPATH' /home/user/.profile,Show the line containing 'export MANPATH' and the ten lines after it.,/home/user/.profile,-A
grep -A 20 'export PATH' /home/user/.profile,Show the line containing 'export PATH' and the twenty lines after it.,/home/user/.profile,-A
grep -A 50 'export MANPATH' /home/user/.profile,Show the line containing 'export MANPATH' and the fifty lines after it.,/home/user/.profile,-A
grep -A 100 'export PATH' /home/user/.profile,Show the line containing 'export PATH' and the one hundred lines after it.,/home/user/.profile,-A
grep -A 1000 'export MANPATH' /home/user/.profile,Show the line containing 'export MANPATH' and the one thousand lines after it.,/home/user/.profile,-A
grep -A 1 'number 1' /home/user/documents/report[0-9].txt,Print the line containing 'number 1' and the line following it.,/home/user/documents/report[0-9].txt,-A
grep -A 2 'sample text' /home/user/documents/report[0-9].txt,Print the line containing 'sample text' and the two lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 3 'This is a sample' /home/user/documents/report[0-9].txt,Print the line containing 'This is a sample' and the three lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 5 'text file' /home/user/documents/report[0-9].txt,Print the line containing 'text file' and the five lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 10 'with the number' /home/user/documents/report[0-9].txt,Print the line containing 'with the number' and the ten lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 20 'in the name' /home/user/documents/report[0-9].txt,Print the line containing 'in the name' and the twenty lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 50 'report[0-9].txt' /home/user/documents/report[0-9].txt,Print the line containing 'report[0-9].txt' and the fifty lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 100 'sample text file' /home/user/documents/report[0-9].txt,Print the line containing 'sample text file' and the one hundred lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 500 'This is a sample' /home/user/documents/report[0-9].txt,Print the line containing 'This is a sample' and the five hundred lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 1000 'with the number 1' /home/user/documents/report[0-9].txt,Print the line containing 'with the number 1' and the one thousand lines following it.,/home/user/documents/report[0-9].txt,-A
grep -A 1 'experience' /home/user/documents/resume[AB].pdf,Find lines containing 'experience' and print the line itself and the next line.,/home/user/documents/resume[AB].pdf,-A
grep -A 2 'skills' /home/user/documents/resume[AB].pdf,Find lines containing 'skills' and print the line itself and the next two lines.,/home/user/documents/resume[AB].pdf,-A
grep -A 3 'education' /home/user/documents/resume[AB].pdf,Find lines containing 'education' and print the line itself and the next three lines.,/home/user/documents/resume[AB].pdf,-A
grep -A 4 'projects' /home/user/documents/resume[AB].pdf,Find lines containing 'projects' and print the line itself and the next four lines.,/home/user/documents/resume[AB].pdf,-A
grep -A 5 'awards' /home/user/documents/resume[AB].pdf,Find lines containing 'awards' and print the line itself and the next five lines.,/home/user/documents/resume[AB].pdf,-A
grep -A 10 'references' /home/user/documents/resume[AB].pdf,Find lines containing 'references' and print the line itself and the next ten lines.,/home/user/documents/resume[AB].pdf,-A
