File_Path,Description
main.go,Go source file
index.php,PHP index file
notes.txt,Text notes file
backup.bak,Backup file
todo.txt,To-do list text file
README,Readme file with no extension
LICENSE,License file with no extension
Makefile,Makefile with no extension
Dockerfile,Dockerfile with no extension
Vagrantfile,Vagrantfile with no extension
config,Configuration file with no extension
data,Data file with no extension
logfile,Log file with no extension
script,Script file with no extension
todo,To-do list file with no extension
*.txt,Matches all .txt files
data*.csv,Matches all .csv files starting with 'data'
log?.log,Matches log files with a single character after 'log'
[a-c]*.md,"Matches .md files starting with 'a', 'b', or 'c'"
config*.conf,Matches .conf files starting with 'config'
script[0-9].py,Matches script files with a single digit after 'script'
*.log,Matches all .log files
index.*,Matches all files starting with 'index'
main.[ch],Matches files named main.c and main.h
*.[ch],Matches all .c and .h files
app*.js,Matches all .js files starting with 'app'
*.html,Matches all .html files
*.go,Matches all .go files
*.rb,Matches all .rb files
"*.{yml,yaml}",Matches all .yml and .yaml files
lib*.[ch],Matches all .c and .h files starting with 'lib'
*.[0-9],Matches all files with a numeric extension
backup*.*,Matches all files starting with 'backup'
*.sh,Matches all .sh files
Docker*,Matches all files starting with 'Docker'
file1.txt notes.txt,Simple text files
log.log error.log,Log files
data.csv results.csv,CSV data files
script.py utility.py,Python scripts
notes.md readme.md,Markdown files
config.conf settings.conf,Configuration files
index.html about.html,HTML files
style.css main.css,CSS files
app.js helper.js,JavaScript files
main.rs lib.rs,Rust source files
main.cpp app.rb,C++ and Ruby source files
server.js settings.json,JavaScript and JSON files
build.gradle main.go,Gradle build file and Go source file
index.php notes.txt,PHP and text files
todo.txt LICENSE,Text and license files
README Dockerfile,Readme and Dockerfile
script.py config.conf,Python script and configuration file
data.csv logfile,CSV data file and log file
example.txt sample.md,Text and Markdown files
test.log output.txt,Log and text files
/home/user/projects/codebase/source/mainfile.cpp /var/www/html/webapp/public/js/app.bundle.js,Main C++ source file and bundled JavaScript file for a web application
/home/user/documents,User's documents directory
/home/user/pictures,User's pictures directory
/home/user/music,User's music directory
/home/user/videos,User's videos directory
/home/user/downloads,User's downloads directory
/home/user/projects,User's projects directory
/home/user/.ssh,User's SSH keys directory
/home/user/.config,User's configuration files directory
/var/log,System log files directory
/var/www/html,Web server root directory
/etc,System configuration files directory
/etc/ssh,SSH daemon configuration directory
/etc/nginx,Nginx configuration files directory
/usr/local/bin,Local user binary files directory
/usr/local/lib,Local user library files directory
/tmp,Temporary files directory
/mnt,Mounted filesystems directory
/dev,Device files directory
/opt,Optional software directory
/srv,Service data directory
